사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,평일주말
20200104,6호선,석계,10386,10229,20615,주말
20200104,6호선,태릉입구,4609,5071,9680,주말
20200104,6호선,화랑대,8688,6933,15621,주말
20200104,6호선,봉화산,6863,6362,13225,주말
20200104,7호선,장암,1745,940,2685,주말
20200104,7호선,도봉산,7218,9552,16770,주말
20200104,7호선,수락산,11288,10857,22145,주말
20200104,7호선,마들,9585,8821,18406,주말
20200104,7호선,노원,18491,19957,38448,주말
20200104,7호선,중계,11792,10692,22484,주말
20200104,7호선,하계,15493,14405,29898,주말
20200104,7호선,공릉,9999,9971,19970,주말
20200104,7호선,태릉입구,7466,6535,14001,주말
20200104,7호선,먹골,9252,8668,17920,주말
20200104,7호선,중화,9023,8622,17645,주말
20200104,7호선,상봉,15094,14458,29552,주말
20200104,7호선,면목,12724,11932,24656,주말
20200104,7호선,사가정,13796,13253,27049,주말
20200104,7호선,용마산,4792,4753,9545,주말
20200104,7호선,중곡,7748,7120,14868,주말
20200104,7호선,군자,12375,9163,21538,주말
20200104,7호선,어린이대공원,15874,16199,32073,주말
20200104,7호선,건대입구,14751,16074,30825,주말
20200104,7호선,뚝섬유원지,6361,6172,12533,주말
20200104,7호선,청담,13076,14074,27150,주말
20200104,7호선,강남구청,10654,11757,22411,주말
20200104,7호선,학동,12661,13501,26162,주말
20200104,7호선,논현,13150,14924,28074,주말
20200104,7호선,반포,5390,4961,10351,주말
20200104,7호선,고속터미널,20839,16063,36902,주말
20200104,7호선,내방,8939,8754,17693,주말
20200104,7호선,이수,14563,14005,28568,주말
20200104,7호선,남성,9052,8368,17420,주말
20200104,7호선,숭실대입구,9716,9325,19041,주말
20200104,7호선,상도,8671,7923,16594,주말
20200104,7호선,장승배기,8369,8014,16383,주말
20200104,7호선,신대방삼거리,12761,11817,24578,주말
20200104,7호선,보라매,6873,6626,13499,주말
20200104,7호선,신풍,9202,8877,18079,주말
20200104,7호선,대림,9491,10265,19756,주말
20200104,7호선,남구로,10329,10855,21184,주말
20200104,7호선,가산디지털단지,17112,15715,32827,주말
20200104,7호선,철산,19128,19505,38633,주말
20200104,7호선,광명사거리,21627,21533,43160,주말
20200104,7호선,천왕,7212,6562,13774,주말
20200104,7호선,온수,6371,6461,12832,주말
20200104,7호선,까치울,5799,5570,11369,주말
20200104,7호선,부천종합운동장,3544,3097,6641,주말
20200104,7호선,춘의,5727,5402,11129,주말
20200104,7호선,신중동,11750,11874,23624,주말
20200104,7호선,부천시청,10937,10631,21568,주말
20200104,7호선,상동,12824,13057,25881,주말
20200104,7호선,삼산체육관,4264,3842,8106,주말
20200104,7호선,굴포천,7352,7540,14892,주말
20200104,7호선,부평구청,8606,7259,15865,주말
20200104,8호선,암사,14258,12855,27113,주말
20200104,8호선,천호,16089,18619,34708,주말
20200104,8호선,강동구청,7383,7403,14786,주말
20200104,8호선,몽촌토성,4285,4492,8777,주말
20200104,8호선,잠실,16162,18111,34273,주말
20200104,8호선,석촌,6322,7631,13953,주말
20200104,8호선,송파,7287,6850,14137,주말
20200104,8호선,가락시장,6926,7538,14464,주말
20200104,8호선,문정,10337,10066,20403,주말
20200104,8호선,장지,15460,14451,29911,주말
20200104,8호선,복정,7783,6497,14280,주말
20200104,8호선,산성,5108,4903,10011,주말
20200104,8호선,남한산성입구,10607,9148,19755,주말
20200104,8호선,단대오거리,9023,8073,17096,주말
20200104,8호선,신흥,4637,5052,9689,주말
20200104,8호선,수진,5243,4892,10135,주말
20200104,8호선,모란,6471,5224,11695,주말
20200104,9호선,개화,1722,1391,3113,주말
20200104,9호선,김포공항,8941,12247,21188,주말
20200104,9호선,공항시장,2450,2614,5064,주말
20200104,9호선,신방화,5253,5018,10271,주말
20200104,9호선,마곡나루,8000,8000,16000,주말
20200104,9호선,양천향교,6402,5999,12401,주말
20200104,9호선,가양,15711,14897,30608,주말
20200104,9호선,증미,4453,4436,8889,주말
20200104,9호선,등촌,7661,7545,15206,주말
20200104,9호선,염창,13142,12029,25171,주말
20200104,9호선,신목동,2554,2263,4817,주말
20200104,9호선,선유도,3824,3680,7504,주말
20200104,9호선,당산,14680,13628,28308,주말
20200104,9호선,국회의사당,4969,4950,9919,주말
20200104,9호선,여의도,9468,8900,18368,주말
20200104,9호선,샛강,3175,3198,6373,주말
20200104,9호선,노량진,28097,29704,57801,주말
20200104,9호선,노들,3773,3141,6914,주말
20200104,9호선,흑석,7036,7145,14181,주말
20200104,9호선,동작,1610,1346,2956,주말
20200104,9호선,구반포,2787,2888,5675,주말
20200104,9호선,신반포,2189,2117,4306,주말
20200104,9호선,고속터미널,16148,24145,40293,주말
20200104,9호선,사평,2412,2194,4606,주말
20200104,9호선,신논현,32898,34244,67142,주말
20200104,공항철도 1호선,서울역,14880,12779,27659,주말
20200104,공항철도 1호선,공덕,2231,3398,5629,주말
20200104,공항철도 1호선,홍대입구,14817,14439,29256,주말
20200104,공항철도 1호선,디지털미디어시티,7122,6469,13591,주말
20200104,공항철도 1호선,마곡나루,2636,2783,5419,주말
20200104,공항철도 1호선,김포공항,10108,5491,15599,주말
20200104,공항철도 1호선,계양,8052,7258,15310,주말
20200104,공항철도 1호선,검암,5966,5959,11925,주말
20200104,공항철도 1호선,청라국제도시,4618,4416,9034,주말
20200104,공항철도 1호선,운서,7259,7833,15092,주말
20200104,공항철도 1호선,공항화물청사,1633,1715,3348,주말
20200104,공항철도 1호선,인천공항1터미널,16074,16738,32812,주말
20200104,공항철도 1호선,인천공항2터미널,5582,5267,10849,주말
20200104,공항철도 1호선,영종,2936,2867,5803,주말
20200104,9호선2~3단계,언주,6213,5962,12175,주말
20200104,9호선2~3단계,선정릉,5175,5652,10827,주말
20200104,9호선2~3단계,삼성중앙,3344,3271,6615,주말
