사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201507,수인분당선,구성,15966,62543,37483,21379,51087,2486,454,9900,48823,137260,102726
201507,수인분당선,기흥,25940,79835,53095,38950,57551,3765,564,22071,63539,171605,143138
201507,수인분당선,남동인더스파크,37596,13010,10875,23529,5344,383,245,9613,4666,27755,53382
201507,수인분당선,달월,1140,603,520,1806,226,15,32,144,235,986,1927
201507,수인분당선,대모산입구,16518,46420,33484,20238,29090,2671,393,9010,30405,99901,80800
201507,수인분당선,도곡,47925,67981,70656,52400,36992,1151,1055,26290,28963,120075,148599
201507,수인분당선,망포,71798,100122,73116,95855,77918,3114,2769,50253,84150,241960,231833
201507,수인분당선,매교,13716,27268,20699,13708,21967,3181,247,7041,18123,62591,52785
201507,수인분당선,매탄권선,16979,42307,26646,24150,31359,2272,808,12120,34475,94627,78908
201507,수인분당선,모란,80143,291410,229568,130045,185879,14720,3581,73657,168469,574430,481761
201507,수인분당선,미금,94031,271898,245394,138733,177940,6980,850,85469,152285,497034,492560
201507,수인분당선,보정,12020,36175,20162,13707,18683,1184,166,6203,18080,72264,50428
201507,수인분당선,복정,0,1,0,1,0,0,0,0,0,3,0
201507,수인분당선,상갈,17807,59370,35995,26952,39632,2610,436,9647,45279,120949,99517
201507,수인분당선,서울숲,29543,61973,53090,41105,43313,2469,407,19361,37594,131095,120634
201507,수인분당선,서현,136062,267808,357150,216638,189970,5634,3491,189699,109326,553080,606029
201507,수인분당선,선릉,215071,64737,225436,116521,68761,1769,1256,69229,31545,148204,473308
201507,수인분당선,선정릉,83152,64724,116115,91806,34533,1152,823,48145,19545,129552,219635
201507,수인분당선,소래포구,9651,50952,54818,24439,28788,1726,304,15338,21306,97046,86079
201507,수인분당선,송도,13659,37169,31710,17976,28735,1985,435,8924,24333,81024,70137
201507,수인분당선,수내,85603,142113,186817,117981,82125,2997,1691,89919,54033,286116,328144
201507,수인분당선,수서,60478,88509,73128,62189,57525,3636,1961,28591,54350,177478,189917
201507,수인분당선,수원,20673,79657,50230,52415,55920,5087,602,49301,38808,204593,110313
201507,수인분당선,수원시청,55582,90507,114522,73667,87195,4322,748,67245,63489,209871,234341
201507,수인분당선,신갈,10210,57758,37925,17791,37660,2638,215,7749,40895,116499,89245
201507,수인분당선,압구정로데오,101828,106929,255412,158986,91177,2514,692,131482,32974,257940,390906
201507,수인분당선,야탑,153623,307086,319324,204218,212500,8297,4127,139414,158047,603582,635121
201507,수인분당선,연수,12994,35064,36512,20911,27661,1596,201,17704,21306,80414,71013
201507,수인분당선,영통,40914,83643,92889,65020,60594,2617,1129,52407,54877,177906,189809
201507,수인분당선,오리,68590,186303,141028,98260,99152,6102,403,59657,90444,374726,300465
