사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,야간 승차인원,야간 하차인원
202207,경부선,성환,17262,22765,40876,31327,25878,21232,8099,18764
202207,경부선,세류,32163,11324,29536,23827,16124,26806,6890,19873
202207,경부선,세마,24143,15631,31404,20531,17395,22647,6073,17043
202207,경부선,송탄,32480,18749,53774,36943,26580,36980,12582,34913
202207,경부선,수원,170735,154345,364441,483604,260362,304577,227901,163121
202207,경부선,신길,65990,53200,82295,57083,58433,52529,21590,40563
202207,경부선,신도림,25215,26143,34619,36665,29494,31472,15915,16503
202207,경부선,안양,194450,66062,224247,198825,98561,205291,66071,116583
202207,경부선,영등포,114088,209521,388220,588151,368288,284995,274756,114286
202207,경부선,오산,61578,59424,114687,88828,69025,75945,29361,54184
202207,경부선,오산대,28625,15798,34814,26565,20686,28282,9168,19236
202207,경부선,용산,60468,269766,393312,588307,389623,223274,283554,87051
202207,경부선,의왕,69164,64653,77206,57968,60210,62611,20672,45003
202207,경부선,직산,5003,7757,8278,6597,8181,4844,2141,4299
202207,경부선,진위,6984,19925,14046,10582,20290,6748,4415,5284
202207,경부선,천안,25781,20472,79841,79918,35504,43980,19473,26646
202207,경부선,평택,66205,48639,149071,146708,80071,95456,56680,63602
202207,경부선,평택지제,21586,31541,35887,27617,33823,22179,16564,19094
