사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,주중주말
202101,5호선,방이,2556,2556,5112,주말
202101,5호선,올림픽공원,1467,1400,2867,주말
202101,5호선,둔촌동,3209,3303,6512,주말
202101,5호선,상일동,5309,4957,10266,주말
202101,5호선,고덕,3056,3041,6097,주말
202101,5호선,명일,3062,3233,6295,주말
202101,5호선,굽은다리,3964,3793,7757,주말
202101,5호선,길동,3472,3703,7175,주말
202101,5호선,강동,6910,6645,13555,주말
202101,5호선,천호,9660,9100,18760,주말
202101,5호선,광나루,5249,5256,10505,주말
202101,5호선,아차산,7252,7315,14567,주말
202101,5호선,군자,4480,5024,9504,주말
202101,5호선,장한평,5681,5816,11497,주말
202101,5호선,답십리,5586,5168,10754,주말
202101,5호선,마장,2155,2068,4223,주말
202101,5호선,왕십리,1921,2160,4081,주말
202101,5호선,행당,2995,2679,5674,주말
202101,5호선,신금호,2310,2486,4796,주말
202101,5호선,청구,1361,1234,2595,주말
202101,5호선,동대문역사문화공원,539,685,1224,주말
202101,5호선,을지로4가,1453,1517,2970,주말
202101,5호선,종로3가,4181,4145,8326,주말
202101,5호선,광화문,6381,6228,12609,주말
202101,5호선,서대문,3620,3560,7180,주말
202101,5호선,충정로,982,1008,1990,주말
202101,5호선,애오개,2004,2046,4050,주말
202101,5호선,공덕,3398,3437,6835,주말
202101,5호선,마포,3624,3728,7352,주말
202101,5호선,여의나루,2112,2044,4156,주말
202101,5호선,여의도,3804,4079,7883,주말
202101,5호선,신길,1197,1468,2665,주말
202101,5호선,영등포시장,3497,3779,7276,주말
202101,5호선,영등포구청,971,1029,2000,주말
202101,5호선,양평,1891,1984,3875,주말
202101,5호선,오목교,8760,9030,17790,주말
202101,5호선,목동,5949,6108,12057,주말
202101,5호선,신정,4974,4269,9243,주말
202101,5호선,까치산,12160,12147,24307,주말
202101,5호선,화곡,10906,10210,21116,주말
202101,5호선,우장산,5247,5401,10648,주말
202101,5호선,발산,6102,6281,12383,주말
202101,5호선,마곡,2427,2461,4888,주말
202101,5호선,송정,2807,2883,5690,주말
202101,5호선,김포공항,4315,3887,8202,주말
202101,5호선,개화산,2149,2192,4341,주말
202101,5호선,방화,2726,2626,5352,주말
202101,4호선,쌍문,12277,11291,23568,주말
202101,4호선,창동,11236,11911,23147,주말
202101,4호선,노원,8913,9767,18680,주말
202101,4호선,상계,8140,7761,15901,주말
202101,4호선,당고개,5707,5451,11158,주말
202101,4호선,남태령,383,378,761,주말
202101,4호선,사당,8752,8333,17085,주말
202101,4호선,총신대입구,7734,8434,16168,주말
202101,4호선,동작,1100,1077,2177,주말
202101,4호선,이촌,2406,2716,5122,주말
202101,4호선,신용산,4667,4752,9419,주말
202101,4호선,삼각지,1274,1548,2822,주말
202101,4호선,숙대입구,4219,4101,8320,주말
202101,4호선,서울,2425,4003,6428,주말
202101,4호선,회현,6789,7060,13849,주말
202101,4호선,명동,6217,6604,12821,주말
202101,4호선,충무로,5573,5809,11382,주말
202101,4호선,동대문역사문화공원,4987,4512,9499,주말
202101,4호선,동대문,5508,5612,11120,주말
202101,4호선,혜화,10234,10444,20678,주말
202101,4호선,한성대입구,5327,5242,10569,주말
202101,4호선,성신여대입구,8838,8684,17522,주말
202101,4호선,길음,7056,6948,14004,주말
202101,4호선,미아사거리,12866,12528,25394,주말
202101,4호선,미아,6345,6191,12536,주말
202101,4호선,수유,15531,15112,30643,주말
202101,3호선,오금,1902,1808,3710,주말
202101,3호선,경찰병원,2064,2069,4133,주말
202101,3호선,가락시장,3162,3202,6364,주말
202101,3호선,수서,6183,5716,11899,주말
202101,3호선,일원,2316,2331,4647,주말
202101,3호선,대청,2996,2847,5843,주말
202101,3호선,학여울,572,540,1112,주말
202101,3호선,대치,4091,3847,7938,주말
202101,3호선,도곡,1718,1670,3388,주말
202101,3호선,매봉,3152,3082,6234,주말
202101,3호선,양재,8731,9797,18528,주말
202101,3호선,남부터미널,9634,9188,18822,주말
202101,3호선,교대,2723,1843,4566,주말
202101,3호선,고속터미널,23856,21535,45391,주말
202101,3호선,잠원,1565,1568,3133,주말
202101,3호선,신사,12035,12344,24379,주말
202101,3호선,압구정,13628,13960,27588,주말
202101,3호선,옥수,3599,3680,7279,주말
202101,3호선,금호,3345,3257,6602,주말
202101,3호선,약수,4961,4890,9851,주말
202101,3호선,동대입구,2828,3273,6101,주말
202101,3호선,충무로,2,0,2,주말
202101,3호선,을지로3가,2082,2103,4185,주말
202101,3호선,종로3가,2200,3036,5236,주말
202101,3호선,안국,4235,4545,8780,주말
202101,3호선,경복궁,5520,5715,11235,주말
202101,3호선,독립문,2958,3232,6190,주말
202101,3호선,무악재,1414,1489,2903,주말
202101,3호선,홍제,7206,7060,14266,주말
202101,3호선,녹번,5162,4780,9942,주말
202101,3호선,불광,7531,8485,16016,주말
202101,3호선,연신내,17233,16303,33536,주말
202101,3호선,구파발,8041,8127,16168,주말
202101,3호선,지축,1184,1177,2361,주말
202101,2호선,용두,901,988,1889,주말
202101,2호선,신정네거리,3761,3983,7744,주말
202101,2호선,양천구청,2197,2320,4517,주말
202101,2호선,도림천,507,483,990,주말
202101,2호선,신설동,1796,1811,3607,주말
202101,2호선,신답,488,533,1021,주말
202101,2호선,용답,1173,1123,2296,주말
202101,2호선,충정로,2610,2624,5234,주말
202101,2호선,아현,3866,3895,7761,주말
202101,2호선,이대,4202,4544,8746,주말
202101,2호선,신촌,14068,14358,28426,주말
202101,2호선,홍대입구,22086,23077,45163,주말
202101,2호선,합정,11062,11761,22823,주말
202101,2호선,당산,6059,6629,12688,주말
202101,2호선,영등포구청,6282,6530,12812,주말
202101,2호선,문래,5148,5313,10461,주말
202101,2호선,신도림,19930,19642,39572,주말
202101,2호선,대림,10276,10898,21174,주말
202101,2호선,구로디지털단지,18136,18446,36582,주말
202101,2호선,신대방,11219,11226,22445,주말
202101,2호선,신림,27580,27810,55390,주말
202101,2호선,봉천,9611,9380,18991,주말
202101,2호선,서울대입구,18722,19228,37950,주말
202101,2호선,낙성대,10747,11155,21902,주말
202101,2호선,사당,14117,15073,29190,주말
202101,2호선,방배,4810,4931,9741,주말
202101,2호선,서초,4473,4038,8511,주말
202101,2호선,교대,8040,8768,16808,주말
202101,2호선,강남,26955,26265,53220,주말
202101,2호선,역삼,8861,9540,18401,주말
202101,2호선,선릉,10750,9807,20557,주말
202101,2호선,삼성,13175,12988,26163,주말
202101,2호선,종합운동장,2158,2216,4374,주말
202101,2호선,잠실새내,8364,8828,17192,주말
202101,2호선,잠실,28358,26540,54898,주말
202101,2호선,잠실나루,3707,3690,7397,주말
202101,2호선,강변,12457,11820,24277,주말
202101,2호선,구의,8669,8867,17536,주말
202101,2호선,건대입구,15666,17068,32734,주말
202101,2호선,성수,6548,7352,13900,주말
202101,2호선,뚝섬,4932,5257,10189,주말
202101,2호선,한양대,1475,1506,2981,주말
202101,2호선,왕십리,6261,5295,11556,주말
202101,2호선,상왕십리,4956,4992,9948,주말
202101,2호선,신당,5940,6298,12238,주말
202101,2호선,동대문역사문화공원,4256,4473,8729,주말
202101,2호선,을지로4가,3295,3308,6603,주말
202101,2호선,을지로3가,3833,3671,7504,주말
202101,2호선,을지로입구,11279,10899,22178,주말
202101,2호선,시청,2943,2279,5222,주말
202101,1호선,청량리,10534,10514,21048,주말
202101,1호선,제기동,8727,9173,17900,주말
202101,1호선,신설동,5013,4977,9990,주말
202101,1호선,동대문,5624,5478,11102,주말
202101,1호선,종로5가,7837,7863,15700,주말
202101,1호선,종로3가,9509,8927,18436,주말
202101,1호선,종각,7837,7398,15235,주말
202101,1호선,시청,4165,3871,8036,주말
202101,1호선,동묘앞,7075,7283,14358,주말
202101,1호선,서울,13135,11056,24191,주말
