,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
371,2020-01-08,수인분당선,남동인더스파크,2321,2554,4875
372,2020-01-08,수인분당선,원인재,4794,4918,9712
373,2020-01-08,수인분당선,연수,5260,5339,10599
374,2020-01-08,수인분당선,송도,2888,2703,5591
375,2020-01-08,수인분당선,인하대,6017,5647,11664
376,2020-01-08,수인분당선,숭의,4233,3983,8216
377,2020-01-08,수인분당선,신포,1897,2073,3970
378,2020-01-08,수인분당선,인천,951,1649,2600
379,2020-01-09,수인분당선,선릉,15255,24816,40071
380,2020-01-09,수인분당선,한티,17207,18178,35385
381,2020-01-09,수인분당선,도곡,7979,7937,15916
382,2020-01-09,수인분당선,구룡,1827,1743,3570
383,2020-01-09,수인분당선,개포동,4032,4164,8196
384,2020-01-09,수인분당선,대모산입구,3950,3699,7649
385,2020-01-09,수인분당선,수서,16513,16902,33415
386,2020-01-09,수인분당선,수원,9565,6892,16457
387,2020-01-09,수인분당선,서울숲,9776,9888,19664
388,2020-01-09,수인분당선,압구정로데오,19323,21823,41146
389,2020-01-09,수인분당선,강남구청,11443,13269,24712
390,2020-01-09,수인분당선,선정릉,9432,10138,19570
391,2020-01-09,수인분당선,가천대,8485,9491,17976
392,2020-01-09,수인분당선,태평,15899,15762,31661
393,2020-01-09,수인분당선,모란,30291,31632,61923
394,2020-01-09,수인분당선,야탑,33473,34667,68140
395,2020-01-09,수인분당선,서현,32984,33389,66373
396,2020-01-09,수인분당선,수내,16684,16767,33451
397,2020-01-09,수인분당선,정자,21015,22393,43408
398,2020-01-09,수인분당선,미금,20330,21543,41873
399,2020-01-09,수인분당선,오리,15085,12718,27803
400,2020-01-09,수인분당선,이매,6820,6599,13419
401,2020-01-09,수인분당선,보정,3156,2774,5930
402,2020-01-09,수인분당선,죽전,16808,18304,35112
403,2020-01-09,수인분당선,구성,5839,5923,11762
404,2020-01-09,수인분당선,신갈,5816,5658,11474
405,2020-01-09,수인분당선,기흥,11862,11134,22996
406,2020-01-09,수인분당선,상갈,6692,6156,12848
407,2020-01-09,수인분당선,청명,5223,4862,10085
408,2020-01-09,수인분당선,영통,10488,10465,20953
409,2020-01-09,수인분당선,망포,16081,15199,31280
410,2020-01-09,수인분당선,매탄권선,5142,4911,10053
411,2020-01-09,수인분당선,수원시청,13118,14556,27674
412,2020-01-09,수인분당선,매교,2619,2647,5266
413,2020-01-09,수인분당선,달월,69,49,118
414,2020-01-09,수인분당선,월곶,2762,2570,5332
415,2020-01-09,수인분당선,소래포구,5123,4658,9781
416,2020-01-09,수인분당선,인천논현,6599,7106,13705
417,2020-01-09,수인분당선,호구포,4059,3991,8050
418,2020-01-09,수인분당선,남동인더스파크,2332,2556,4888
419,2020-01-09,수인분당선,원인재,4739,4883,9622
420,2020-01-09,수인분당선,연수,5063,5070,10133
421,2020-01-09,수인분당선,송도,2805,2672,5477
422,2020-01-09,수인분당선,인하대,5859,5492,11351
423,2020-01-09,수인분당선,숭의,4174,3925,8099
